customer_id,signup_date
C000001,2025-09-14
C000002,2025-09-07
C000003,2025-11-13
C000004,2025-04-04
C000005,2024-12-21
C000006,2024-11-19
C000007,2024-05-12
C000008,2024-05-06
C000009,2024-04-15
C000010,2025-08-26
C000011,2025-01-12
C000012,2024-02-20
C000013,2024-01-29
C000014,2025-04-06
C000015,2024-10-22
C000016,2024-10-23
C000017,2025-12-26
C000018,2025-02-10
C000019,2025-09-04
C000020,2025-02-08
C000021,2024-12-11
C000022,2025-09-13
C000023,2025-02-23
C000024,2024-06-30
C000025,2024-01-01
C000026,2025-07-20
C000027,2025-01-05
C000028,2025-10-22
C000029,2025-03-06
C000030,2024-11-04
C000031,2024-05-16
C000032,2024-07-20
C000033,2025-03-11
C000034,2024-11-08
C000035,2024-04-26
C000036,2025-10-27
C000037,2025-07-28
C000038,2024-08-31
C000039,2025-06-20
C000040,2025-08-24
C000041,2024-03-15
C000042,2025-01-20
C000043,2024-07-28
C000044,2025-04-19
C000045,2025-02-21
C000046,2024-12-12
C000047,2025-06-12
C000048,2025-10-01
C000049,2024-06-27
C000050,2024-06-30
C000051,2025-10-25
C000052,2024-01-25
C000053,2024-06-28
C000054,2025-12-10
C000055,2025-05-15
C000056,2024-06-09
C000057,2024-06-25
C000058,2024-10-11
C000059,2024-03-03
C000060,2025-10-23
C000061,2025-10-27
C000062,2024-06-04
C000063,2025-04-13
C000064,2024-02-18
C000065,2024-03-24
C000066,2024-12-26
C000067,2025-11-19
C000068,2024-05-27
C000069,2025-09-21
C000070,2024-12-07
C000071,2025-04-20
C000072,2024-03-03
C000073,2025-12-01
C000074,2024-12-25
C000075,2025-07-14
C000076,2024-11-22
C000077,2024-05-20
C000078,2024-08-02
C000079,2025-03-10
C000080,2025-12-23
C000081,2024-11-13
C000082,2024-02-01
C000083,2025-10-31
C000084,2024-10-11
C000085,2024-10-31
C000086,2025-03-04
C000087,2025-04-21
C000088,2024-10-12
C000089,2024-05-23
C000090,2025-02-27
C000091,2024-01-19
C000092,2024-01-18
C000093,2025-08-12
C000094,2025-01-05
C000095,2024-06-23
C000096,2024-07-12
C000097,2025-05-16
C000098,2024-04-22
C000099,2024-04-23
C000100,2024-08-09
C000101,2025-11-08
C000102,2025-10-05
C000103,2024-09-20
C000104,2024-02-24
C000105,2025-10-04
C000106,2025-04-02
C000107,2024-06-10
C000108,2025-01-14
C000109,2024-03-27
C000110,2024-02-24
C000111,2025-04-20
C000112,2024-06-26
C000113,2025-01-25
C000114,2024-12-14
C000115,2024-01-08
C000116,2024-11-08
C000117,2025-03-18
C000118,2024-11-23
C000119,2024-02-23
C000120,2024-08-26
C000121,2024-08-16
C000122,2025-08-01
C000123,2024-02-20
C000124,2025-08-31
C000125,2025-08-26
C000126,2024-09-20
C000127,2025-02-21
C000128,2024-04-05
C000129,2024-03-28
C000130,2024-03-18
C000131,2024-10-14
C000132,2024-04-29
C000133,2025-05-05
C000134,2025-03-27
C000135,2025-05-14
C000136,2024-06-13
C000137,2024-06-30
C000138,2025-04-13
C000139,2024-01-07
C000140,2024-11-25
C000141,2025-11-03
C000142,2024-05-30
C000143,2024-03-25
C000144,2024-05-26
C000145,2025-09-15
C000146,2025-01-15
C000147,2025-07-01
C000148,2024-10-11
C000149,2025-11-30
C000150,2024-03-22
C000151,2025-05-28
C000152,2025-12-09
C000153,2025-06-06
C000154,2025-01-20
C000155,2025-12-07
C000156,2025-04-15
C000157,2024-04-28
C000158,2025-01-30
C000159,2025-06-15
C000160,2024-09-17
C000161,2024-09-12
C000162,2024-08-13
C000163,2024-02-22
C000164,2025-05-14
C000165,2025-05-20
C000166,2024-12-29
C000167,2024-10-06
C000168,2025-08-15
C000169,2025-12-14
C000170,2024-06-06
C000171,2025-09-23
C000172,2024-02-28
C000173,2025-12-27
C000174,2024-05-07
C000175,2025-12-21
C000176,2024-04-24
C000177,2024-07-27
C000178,2025-06-09
C000179,2025-06-04
C000180,2025-07-05
C000181,2024-08-24
C000182,2024-10-07
C000183,2024-12-24
C000184,2024-07-19
C000185,2024-10-04
C000186,2024-08-22
C000187,2025-05-08
C000188,2024-01-04
C000189,2025-10-27
C000190,2025-03-17
C000191,2024-01-29
C000192,2024-04-18
C000193,2025-09-01
C000194,2025-12-27
C000195,2024-03-15
C000196,2024-05-25
C000197,2024-05-07
C000198,2024-02-11
C000199,2024-12-21
C000200,2024-02-10
C000201,2024-02-03
C000202,2024-01-17
C000203,2025-11-07
C000204,2024-06-01
C000205,2025-01-12
C000206,2025-08-10
C000207,2025-08-21
C000208,2025-09-20
C000209,2024-12-07
C000210,2024-01-27
C000211,2024-10-13
C000212,2025-10-07
C000213,2024-06-16
C000214,2025-09-01
C000215,2024-09-24
C000216,2025-03-30
C000217,2025-11-15
C000218,2025-02-04
C000219,2025-04-20
C000220,2025-12-02
C000221,2025-09-25
C000222,2025-07-11
C000223,2025-07-29
C000224,2024-05-09
C000225,2024-12-28
C000226,2025-12-05
C000227,2025-11-23
C000228,2024-10-18
C000229,2025-01-05
C000230,2024-01-29
C000231,2024-05-28
C000232,2024-10-22
C000233,2024-01-11
C000234,2025-05-26
C000235,2025-11-06
C000236,2024-04-22
C000237,2024-07-05
C000238,2024-08-14
C000239,2024-11-05
C000240,2024-04-07
C000241,2024-02-24
C000242,2025-09-14
C000243,2025-10-25
C000244,2025-02-09
C000245,2024-03-09
C000246,2024-11-07
C000247,2024-10-15
C000248,2025-07-01
C000249,2024-05-27
C000250,2025-04-11
C000251,2024-08-31
C000252,2025-05-05
C000253,2025-05-21
C000254,2024-12-30
C000255,2025-04-26
C000256,2024-07-19
C000257,2024-06-02
C000258,2025-03-25
C000259,2025-05-15
C000260,2024-03-13
C000261,2025-12-13
C000262,2024-10-22
C000263,2024-01-17
C000264,2025-10-02
C000265,2024-08-04
C000266,2024-03-01
C000267,2025-09-07
C000268,2024-02-11
C000269,2024-01-25
C000270,2024-02-08
C000271,2024-05-10
C000272,2025-05-12
C000273,2024-08-16
C000274,2024-04-17
C000275,2024-06-20
C000276,2025-03-10
C000277,2025-04-22
C000278,2024-04-11
C000279,2025-06-07
