merchant_id,category,city,created_at
M0001,Food,Jaipur,2026-08-26 10:22:57.824004
M0002,SaaS,Delhi,2026-08-26 10:22:57.824004
M0003,Gaming,Delhi,2026-08-26 10:22:57.824004
M0004,Healthcare,Pune,2026-08-26 10:22:57.824004
M0005,Food,Jaipur,2026-08-26 10:22:57.824004
M0006,Subscription,Chennai,2026-08-26 10:22:57.824004
M0007,FinTech,Bangalore,2026-08-26 10:22:57.824004
M0008,Food,Delhi,2026-08-26 10:22:57.824004
M0009,Gaming,Pune,2026-08-26 10:22:57.824004
M0010,Healthcare,Jaipur,2026-08-26 10:22:57.824004
M0011,SaaS,Bangalore,2026-08-26 10:22:57.824004
M0012,Gaming,Jaipur,2026-08-26 10:22:57.824004
M0013,Gaming,Kolkata,2026-08-26 10:22:57.824004
M0014,FinTech,Pune,2026-08-26 10:22:57.824004
M0015,Travel,Bangalore,2026-08-26 10:22:57.824004
M0016,Healthcare,Lucknow,2026-08-26 10:22:57.824004
M0017,EdTech,Hyderabad,2026-08-26 10:22:57.824004
M0018,Gaming,Hyderabad,2026-08-26 10:22:57.824004
M0019,Travel,Bangalore,2026-08-26 10:22:57.824004
M0020,EdTech,Jaipur,2026-08-26 10:22:57.824004
M0021,Healthcare,Pune,2026-08-26 10:22:57.824004
M0022,Ecommerce,Hyderabad,2026-08-26 10:22:57.824004
M0023,Subscription,Pune,2026-08-26 10:22:57.824004
M0024,Travel,Hyderabad,2026-08-26 10:22:57.824004
M0025,Retail,Kolkata,2026-08-26 10:22:57.824004
M0026,Ecommerce,Jaipur,2026-08-26 10:22:57.824004
M0027,Subscription,Kolkata,2026-08-26 10:22:57.824004
M0028,FinTech,Hyderabad,2026-08-26 10:22:57.824004
M0029,Food,Lucknow,2026-08-26 10:22:57.824004
M0030,SaaS,Lucknow,2026-08-26 10:22:57.824004
M0031,Retail,Kolkata,2026-08-26 10:22:57.824004
M0032,FinTech,Lucknow,2026-08-26 10:22:57.824004
M0033,Healthcare,Hyderabad,2026-08-26 10:22:57.824004
M0034,FinTech,Bangalore,2026-08-26 10:22:57.824004
M0035,Food,Kolkata,2026-08-26 10:22:57.824004
M0036,Healthcare,Mumbai,2026-08-26 10:22:57.824004
M0037,Retail,Jaipur,2026-08-26 10:22:57.824004
M0038,Food,Lucknow,2026-08-26 10:22:57.824004
M0039,EdTech,Lucknow,2026-08-26 10:22:57.824004
M0040,SaaS,Delhi,2026-08-26 10:22:57.824004
M0041,Retail,Chennai,2026-08-26 10:22:57.824004
M0042,EdTech,Kolkata,2026-08-26 10:22:57.824004
M0043,Subscription,Ahmedabad,2026-08-26 10:22:57.824004
M0044,Retail,Lucknow,2026-08-26 10:22:57.824004
M0045,Subscription,Jaipur,2026-08-26 10:22:57.824004
M0046,Healthcare,Mumbai,2026-08-26 10:22:57.824004
M0047,EdTech,Lucknow,2026-08-26 10:22:57.824004
M0048,SaaS,Mumbai,2026-08-26 10:22:57.824004
M0049,Food,Hyderabad,2026-08-26 10:22:57.824004
M0050,Gaming,Hyderabad,2026-08-26 10:22:57.824004
M0051,FinTech,Chennai,2026-08-26 10:22:57.824004
M0052,Ecommerce,Bangalore,2026-08-26 10:22:57.824004
M0053,SaaS,Ahmedabad,2026-08-26 10:22:57.824004
M0054,EdTech,Delhi,2026-08-26 10:22:57.824004
M0055,Gaming,Chennai,2026-08-26 10:22:57.824004
M0056,SaaS,Pune,2026-08-26 10:22:57.824004
M0057,EdTech,Delhi,2026-08-26 10:22:57.824004
M0058,Travel,Kolkata,2026-08-26 10:22:57.824004
M0059,Travel,Jaipur,2026-08-26 10:22:57.824004
M0060,Subscription,Pune,2026-08-26 10:22:57.824004
M0061,SaaS,Pune,2026-08-26 10:22:57.824004
