merchant_id,historical_monthly_revenue,growth_trend_pct,forecast_m1_revenue,forecast_m1_lower,forecast_m1_upper,forecast_m2_revenue,forecast_m2_lower,forecast_m2_upper,forecast_m3_revenue,forecast_m3_lower,forecast_m3_upper,forecast_confidence_pct
M0001,85445.91,-1.63,84052.91,75692.17,94729.31,82614.11,70555.75,98354.58,81132.59,65518.62,101743.51,85.2
M0002,11955.97,7.39,12839.27,11774.38,14611.6,13835.26,12120.79,16699.99,14959.62,12492.78,19089.67,90.2
M0003,1470809.65,-11.06,1308152.3,1117554.51,1433996.55,1156249.83,916212.37,1323096.68,1015592.75,741890.5,1210992.8,81.6
M0004,122074.63,-0.06,121995.6,107953.91,136220.29,121912.68,101577.64,143235.21,121825.87,95206.92,150235.66,87.4
M0005,141820.16,15.43,163709.29,149900.41,186153.83,190240.26,166308.04,229363.17,222539.01,185319.36,283559.21,93.8
M0006,363549.95,-18.33,296913.11,247497.86,321372.81,239769.33,183365.99,269397.63,191426.0,133222.92,222965.35,72.9
M0007,55330.19,9.9,60810.63,54955.17,68663.71,67135.06,57620.68,80139.79,74449.73,60516.46,93678.61,91.8
M0008,10318.88,2.25,10551.55,9491.54,11884.84,10801.37,9210.54,12848.66,11069.28,8920.73,13866.71,86.0
M0009,249099.81,-8.27,228489.24,195013.28,250346.52,208638.73,165100.0,238576.3,189649.64,138283.04,225933.41,80.8
M0010,342399.3,2.15,349763.38,314731.08,394029.43,357661.97,305128.58,425560.52,366123.55,295242.03,458796.74,88.4
M0011,93292.58,9.31,101980.13,92466.4,115353.8,111951.5,96533.54,133973.48,123419.1,100938.31,155789.46,92.5
M0012,20006.4,-7.18,18569.62,16189.37,20572.91,17169.34,14006.06,19947.68,15813.0,12013.14,19224.81,82.6
M0013,8624.28,18.33,10205.09,9349.8,11607.88,12169.19,10647.07,14678.36,14622.83,12190.32,18642.94,92.2
M0014,77322.7,-1.99,75781.04,66744.91,84407.95,74194.57,61409.36,86864.03,72567.35,56210.67,89089.48,86.0
M0015,57563.97,1.79,58594.96,51898.14,65458.77,59696.89,49803.92,70186.23,60873.01,47654.44,75134.34,85.2
M0016,17522.66,3.72,18173.93,16263.67,20414.05,18883.18,15984.99,22374.49,19655.2,15687.8,24500.6,87.5
M0017,214614.46,7.41,230526.46,209649.98,261177.26,248472.8,215157.57,298028.22,268737.37,221009.61,340200.01,93.3
M0018,58783.59,1.14,59455.48,52918.94,66592.52,60169.03,50546.8,71003.07,60925.53,48137.26,75552.53,86.6
M0019,34541.26,15.6,39931.09,36071.75,45078.21,46473.5,39864.97,55459.15,54450.42,44227.35,68487.74,93.8
M0020,426929.82,16.51,497400.1,456190.5,566091.05,583607.52,511356.91,704501.82,689572.67,575965.57,880032.64,94.5
M0021,1259144.33,-6.74,1174318.12,1027070.37,1303187.79,1091250.92,894258.3,1270881.73,1010383.83,772286.88,1232142.87,80.5
M0022,1344671.1,13.95,1532284.1,1405058.55,1743708.66,1756762.96,1538854.08,2120360.19,2026383.34,1691928.77,2585584.09,90.6
M0023,17552.21,14.26,20055.89,18208.34,22701.66,23059.74,19919.93,27622.8,26677.95,21870.58,33716.66,93.5
M0024,79844.34,-6.38,74747.28,65542.9,83062.17,69737.02,57357.3,81373.34,64840.0,49803.6,79265.6,81.5
M0025,48932.2,-14.83,41674.75,35386.45,45539.67,35184.65,27636.84,40079.19,29444.35,21254.4,34905.69,79.6
M0026,2356140.24,18.91,2801753.31,2538864.8,3168166.61,3358139.04,2893238.27,4016905.18,4056770.52,3314178.68,5117859.42,91.4
M0027,543115.8,13.92,618727.07,566296.14,703393.68,709171.64,619589.08,854736.21,817773.72,680469.51,1041582.03,90.4
M0028,427264.14,12.05,478751.27,436300.39,543009.27,539327.4,468373.49,647910.19,610817.75,504260.59,774785.67,90.7
M0029,10736.67,15.49,12399.9,11312.3,14072.15,14416.82,12538.6,17333.2,16873.47,13956.89,21424.58,91.6
M0030,459325.72,15.69,531389.34,480923.29,600480.58,618927.51,532302.42,739636.94,725741.41,591515.54,914463.21,92.5
M0031,69397.94,-11.8,61206.37,52108.66,66974.46,53620.48,42278.68,61200.27,46658.32,33855.28,55452.48,77.2
M0032,1338064.22,-12.09,1176305.28,1016915.91,1297464.72,1026991.22,827754.92,1185661.36,890422.65,665590.93,1073849.72,81.7
M0033,2243985.68,-5.93,2110979.93,1829818.51,2331661.77,1979601.6,1601656.06,2290022.93,1850532.93,1390397.92,2237442.36,81.4
M0034,2065562.8,8.66,2244409.0,2054891.1,2551982.81,2448457.12,2140147.4,2951761.97,2681656.01,2232746.79,3416644.29,90.2
M0035,361037.74,7.8,389192.59,351110.1,439048.16,421060.57,360512.06,501967.36,457179.75,370429.89,574309.2,88.8
M0036,252252.1,15.98,292553.42,267402.6,332346.54,341630.52,297915.48,411333.39,401669.56,333405.82,510939.75,91.2
M0037,62959.72,3.31,65041.53,58257.7,73093.67,67299.71,57043.23,79797.27,69747.56,55763.17,87017.06,87.5
M0038,14915.72,19.34,17801.05,16170.3,20155.42,21416.7,18515.17,25665.56,25973.88,21315.46,32844.49,93.3
M0039,2130225.84,14.55,2440228.6,2227879.91,2770440.33,2813100.56,2449197.87,3384103.71,3263417.05,2703088.34,4146628.24,90.9
M0040,28039.72,16.99,32802.4,30000.09,37275.99,38652.62,33734.46,46559.79,45874.47,38119.39,58387.19,92.3
M0041,2877983.26,10.56,3181954.25,2922911.35,3624436.81,3534834.3,3104008.7,4272165.39,3945516.26,3304961.7,5042843.24,93.9
M0042,119254.54,12.21,133810.73,122949.31,152439.86,150960.29,132609.56,182485.33,171229.09,143498.54,218906.12,90.3
M0043,1652004.02,16.75,1928658.71,1750296.35,2182624.49,2267792.94,1957921.71,2715727.4,2685549.26,2200001.95,3392815.51,93.8
M0044,288002.83,8.31,311936.18,281890.49,352213.38,339154.53,291075.98,404841.98,370157.06,300863.66,465746.42,91.5
M0045,1944564.52,2.8,1998986.59,1790192.44,2246261.23,2057729.01,1743719.56,2439540.63,2121077.1,1695270.87,2645831.57,84.9
M0046,1274266.41,13.97,1452242.25,1330399.13,1651780.34,1665217.52,1456732.29,2008418.85,1921055.18,1601199.49,2448961.14,91.7
M0047,1189579.57,16.54,1386309.95,1266130.74,1574210.4,1627038.49,1417280.69,1957831.69,1923022.64,1593897.32,2444315.62,92.9
M0048,86001.47,12.26,96547.4,87245.06,109011.67,108978.48,93525.33,130082.16,123678.31,100519.55,155612.05,90.0
M0049,49452.13,18.86,58776.98,53621.65,66703.64,70414.31,61240.73,84658.42,85019.61,70323.97,107951.1,94.9
M0050,18354.87,0.68,18480.14,16454.53,20702.56,18612.58,15644.25,21970.1,18752.32,14826.52,23262.63,86.0
M0051,11489.63,16.0,13327.61,12144.65,15115.64,15566.21,13516.45,18698.75,18305.33,15109.22,23217.02,95.1
M0052,206204.39,0.16,206531.43,182914.56,230716.26,206875.37,172575.43,243213.03,207236.28,162214.2,255771.02,84.8
M0053,9755.28,-8.76,8900.95,7802.48,9889.49,8082.46,6644.75,9428.92,7303.85,5606.8,8926.18,79.4
M0054,22031.17,13.26,24952.26,22615.48,28218.51,28426.07,24497.59,34007.53,32571.94,26619.42,41099.27,92.6
M0055,3147541.79,0.29,3156579.55,2826685.42,3546922.18,3166096.45,2682696.84,3753375.68,3176096.59,2538177.59,3961608.8,85.5
M0056,76133.94,11.11,84594.43,77420.82,96166.95,94465.13,82524.74,113849.37,106012.44,88202.35,135017.44,92.0
M0057,1696997.53,1.06,1714930.8,1534314.29,1926073.08,1733959.73,1467346.08,2054187.41,1754116.0,1399433.74,2186049.52,85.1
M0058,24450.37,-11.14,21727.24,18704.98,23913.0,19186.41,15372.15,22081.64,16835.86,12483.79,20223.24,77.6
M0059,85484.42,16.02,99181.12,90541.45,112596.36,115866.93,100864.48,139375.17,136288.12,112867.01,173156.78,92.5
M0060,12920.57,16.68,15075.26,13766.58,17117.35,17714.98,15428.33,21314.49,20964.64,17372.35,26644.38,94.0
M0061,92998.89,6.87,99383.58,88773.39,111524.28,106547.76,89960.4,126071.57,114594.12,91148.16,142591.76,87.4
M0062,3273732.98,8.72,3559159.03,3266418.2,4052102.56,3884986.01,3407132.73,4692091.85,4257577.13,3560398.87,5436926.0,90.7
M0063,14987.1,-5.76,14124.24,12263.8,15614.63,13270.4,10762.83,15370.84,12429.98,9369.72,15053.2,80.6
M0064,1315360.39,16.01,1525989.21,1383904.35,1726290.55,1782563.9,1537497.02,2133532.91,2096550.3,1715292.63,2646936.68,94.2
M0065,803070.09,17.49,943529.22,864253.89,1073094.65,1116806.32,976803.48,1346846.09,1331672.0,1109682.28,1697402.4,92.7
M0066,3927918.08,9.85,4314867.77,3922948.33,4887795.91,4761190.36,4121095.93,5709476.64,5277131.68,4337538.38,6678526.77,93.1
M0067,1728418.96,-3.18,1673483.35,1486337.71,1872259.7,1617634.32,1354865.8,1905848.23,1561078.41,1228490.65,1931928.2,86.6
M0068,192521.73,14.19,219845.09,201459.45,250091.38,252606.34,221070.96,304736.71,292042.21,243548.6,372400.54,93.8
M0069,2314288.79,15.09,2663506.54,2406717.87,3007258.69,3085515.66,2647742.7,3682840.64,3597668.06,2923644.95,4526298.14,91.9
M0070,422793.63,-10.05,380303.48,327562.99,418668.5,340172.53,272736.73,391647.44,302566.99,224565.22,363612.91,81.0
M0071,1140950.62,11.13,1267937.25,1161100.86,1441847.52,1416113.36,1238136.23,1707464.52,1589486.51,1323883.31,2025514.45,92.8
M0072,129567.58,-16.33,108411.18,92000.98,118430.54,89824.2,70497.63,102276.53,73690.59,53134.6,87311.56,72.9
M0073,388481.88,10.41,428910.16,387636.14,484316.77,475777.48,408388.36,567968.88,530241.67,431059.97,667234.91,88.5
M0074,671344.35,9.44,734719.64,663753.07,829454.39,807545.49,692777.12,963732.86,891401.52,724130.02,1121276.14,91.5
M0075,1301788.43,11.21,1447734.02,1329700.27,1648940.09,1618157.2,1420677.3,1955494.43,1817712.83,1522243.61,2322964.29,90.3
M0076,1043073.64,-12.93,908195.49,785216.74,1001794.12,784886.35,632712.58,906221.93,673244.74,503351.43,812013.95,79.6
M0077,8942.56,11.02,9927.83,9035.91,11252.6,11076.35,9601.87,13293.39,12418.75,10228.08,15733.07,91.6
M0078,859748.65,9.83,944273.79,861309.89,1071524.13,1041750.66,905823.03,1252330.14,1154410.94,954582.41,1465547.78,92.1
M0079,33442.38,8.95,36434.95,33475.34,41505.97,39858.32,35009.95,48179.54,43781.68,36686.86,55968.75,93.1
M0080,221344.24,18.1,261409.89,240308.88,297881.8,311093.75,273463.85,376199.45,373036.15,312902.72,477128.16,93.7
M0081,416434.59,16.02,483139.59,441647.56,548885.23,564398.97,492246.21,679604.09,663845.69,551124.69,844517.93,90.5
M0082,11052.92,13.52,12546.99,11378.74,14193.91,14327.81,12358.02,17148.81,16458.23,13465.3,20778.84,93.0
M0083,46715.63,-17.33,38620.06,32207.59,41811.62,31592.77,24177.32,35509.01,25570.42,17812.35,29796.7,72.0
M0084,3553702.86,0.3,3564375.85,3212821.46,4019118.92,3575616.14,3057723.9,4259881.8,3587428.82,2902050.54,4502797.16,85.5
M0085,587337.39,-10.69,524553.22,447354.72,574501.18,465676.8,368089.57,532189.42,410919.78,299170.15,489175.34,77.0
M0086,377057.83,-1.96,369668.96,328229.07,413511.7,362062.68,303118.88,426473.63,354258.15,278624.03,438288.18,87.2
M0087,86473.31,15.31,99712.04,91346.2,113412.47,115740.85,101250.1,139595.04,135232.28,112716.11,172394.11,95.1
M0088,3456118.47,1.46,3506408.77,3148579.76,3945761.79,3559981.96,3028120.66,4229080.57,3616963.76,2905326.14,4523374.88,84.5
M0089,11829.72,-7.01,11000.07,9610.54,12200.4,10190.03,8337.89,11857.93,9403.9,7173.29,11456.21,81.8
M0090,991500.01,11.91,1109622.08,1019121.3,1263815.16,1248426.32,1096018.43,1508648.3,1412030.33,1182434.2,1804461.8,94.8
M0091,3131654.62,13.05,3540320.59,3230754.96,4018405.48,4025415.27,3502433.32,4840803.39,4603242.49,3809643.48,5846486.22,93.9
M0092,16877.47,12.54,18993.08,17353.98,21572.34,21492.93,18733.24,25871.04,24456.51,20286.68,31098.9,92.1
M0093,257275.69,-2.44,250988.77,223703.78,281323.27,244548.81,205841.62,288883.06,237975.29,188512.13,295498.68,83.3
