merchant_id,merchant_name,category,industry,total_revenue,success_rate,refund_rate,chargeback_rate,retention_rate,total_transactions,avg_order_value,active_customers,merchant_health_score,risk_score,risk_level,merchant_status,created_at
M0001,Swift Labs,E-Commerce,E-Commerce,1025350.97,93.51,4.08,1.04,48.59,263,3898.67,199,64.82,45.19,MEDIUM,ACTIVE,2026-03-31
M0002,Apex Dynamics,SaaS & Subscriptions,SaaS & Subscriptions,143471.6,99.02,1.28,0.32,65.64,41472,3.46,27860,83.9,17.1,LOW,ACTIVE,2024-08-31
M0003,Nexus Solutions,Fintech & Wealth,Fintech & Wealth,17649715.85,78.1,5.82,1.81,36.87,2607,6770.12,2126,35.91,83.48,HIGH,UNDER_REVIEW,2025-12-30
M0004,Velocity Labs,EdTech,EdTech,1464895.51,88.3,3.75,0.63,51.72,974,1504.0,722,60.34,47.79,MEDIUM,ACTIVE,2024-12-08
M0005,Scale Digital,Health & Wellness,Health & Wellness,1701841.88,98.55,0.56,0.24,83.36,133,12795.8,77,91.21,10.22,LOW,ACTIVE,2025-03-15
M0006,Nova Prime,Travel & Hospitality,Travel & Hospitality,4362599.36,71.19,9.38,4.8,34.66,15199,287.03,12565,15.12,100.0,CRITICAL,RESTRICTED,2026-04-26
M0007,Lumina Mart,Gaming & Entertainment,Gaming & Entertainment,663962.31,94.57,1.43,0.21,68.78,2170,305.97,1423,79.19,22.64,LOW,ACTIVE,2025-02-21
M0008,Apex Tech,D2C Retail,D2C Retail,123826.5,93.18,2.8,1.1,52.17,2533,48.89,1872,67.35,40.79,MEDIUM,ACTIVE,2025-04-28
M0009,Quantum Solutions,B2B Logistics,B2B Logistics,2989197.74,77.83,9.36,2.82,47.03,26008,114.93,19892,32.72,100.0,HIGH,UNDER_REVIEW,2026-06-02
M0010,Stellar Wave,FoodTech & QSR,FoodTech & QSR,4108791.55,93.28,2.34,0.68,46.04,755,5442.11,581,66.58,37.2,MEDIUM,ACTIVE,2025-04-20
M0011,Apex Digital,E-Commerce,E-Commerce,1119510.95,95.57,1.69,0.17,73.71,2915,384.05,1840,82.16,20.49,LOW,ACTIVE,2026-03-15
M0012,Quantum Digital,SaaS & Subscriptions,SaaS & Subscriptions,240076.83,83.94,5.34,3.18,44.36,343,699.93,266,44.48,82.13,HIGH,UNDER_REVIEW,2025-02-18
M0013,Lumina Solutions,Fintech & Wealth,Fintech & Wealth,103491.34,98.73,1.47,0.33,88.91,158,655.01,87,92.19,12.46,LOW,ACTIVE,2025-05-29
M0014,Omni Prime,EdTech,EdTech,927872.38,86.92,4.43,1.06,52.61,148,6269.41,109,57.08,55.45,MEDIUM,ACTIVE,2025-04-17
M0015,Hyper Pay,Health & Wellness,Health & Wellness,690767.6,88.57,4.07,1.07,65.41,1881,367.23,1265,64.66,48.6,MEDIUM,ACTIVE,2024-12-28
M0016,Catalyst Cart,Travel & Hospitality,Travel & Hospitality,210271.92,91.63,4.15,1.01,62.73,2151,97.76,1476,67.72,44.48,MEDIUM,ACTIVE,2026-05-30
M0017,Elevate Network,Gaming & Entertainment,Gaming & Entertainment,2575373.52,96.48,0.25,0.07,65.97,5219,493.46,3497,82.51,15.22,LOW,ACTIVE,2025-01-02
M0018,Echo Dynamics,D2C Retail,D2C Retail,705403.1,90.02,4.55,0.72,54.44,10944,64.46,7965,62.43,48.05,MEDIUM,ACTIVE,2025-04-11
M0019,Velocity Cloud,B2B Logistics,B2B Logistics,414495.09,94.45,0.72,0.09,93.82,15173,27.32,8055,89.85,13.11,LOW,ACTIVE,2024-09-08
M0020,Catalyst Store,FoodTech & QSR,FoodTech & QSR,5123157.88,99.05,1.65,0.1,92.67,2855,1794.45,1532,94.28,9.83,LOW,ACTIVE,2025-09-16
M0021,Pulse Tech,E-Commerce,E-Commerce,15109731.92,84.87,6.43,1.69,35.65,1421,10633.17,1167,43.89,74.81,HIGH,UNDER_REVIEW,2026-07-06
M0022,Aero Labs,SaaS & Subscriptions,SaaS & Subscriptions,16136053.17,98.99,0.21,0.24,77.94,397,40644.97,242,90.18,9.69,LOW,ACTIVE,2025-06-18
M0023,Titan Ventures,Fintech & Wealth,Fintech & Wealth,210626.51,95.96,1.9,0.16,81.08,7896,26.68,4694,85.25,18.72,LOW,ACTIVE,2025-11-10
M0024,Vertex Dynamics,EdTech,EdTech,958132.1,85.62,9.33,1.93,39.96,648,1478.6,518,42.2,84.67,HIGH,UNDER_REVIEW,2026-07-25
M0025,Beacon Mart,Health & Wellness,Health & Wellness,587186.35,76.37,7.74,2.35,32.82,565,1039.27,472,28.4,98.13,HIGH,UNDER_REVIEW,2025-12-17
M0026,Sync Hub,Travel & Hospitality,Travel & Hospitality,28273682.85,95.39,0.46,0.23,95.56,450,62830.41,234,91.84,11.47,LOW,ACTIVE,2024-12-13
M0027,Core Labs,Gaming & Entertainment,Gaming & Entertainment,6517389.57,98.42,0.63,0.33,76.4,5088,1280.93,3144,88.09,13.11,LOW,ACTIVE,2026-05-15
M0028,Orbit Systems,D2C Retail,D2C Retail,5127169.63,97.11,0.36,0.38,74.94,318,16123.17,198,86.04,14.9,LOW,ACTIVE,2026-06-12
M0029,Nova Digital,B2B Logistics,B2B Logistics,128840.05,97.43,1.42,0.03,80.87,408,315.78,243,88.03,13.85,LOW,ACTIVE,2025-05-21
M0030,Vortex Wave,FoodTech & QSR,FoodTech & QSR,5511908.62,95.01,1.44,0.19,94.04,235,23454.93,124,89.52,15.53,LOW,ACTIVE,2025-08-10
M0031,Horizon Ventures,E-Commerce,E-Commerce,832775.33,77.12,9.16,2.99,36.13,6043,137.81,4951,27.5,100.0,HIGH,UNDER_REVIEW,2026-05-24
M0032,Optima Cloud,SaaS & Subscriptions,SaaS & Subscriptions,16056770.69,81.5,7.38,1.91,33.49,26397,608.28,21976,36.86,85.49,HIGH,UNDER_REVIEW,2025-01-20
M0033,Elevate Tech,Fintech & Wealth,Fintech & Wealth,26927828.19,82.27,6.53,2.09,43.62,26379,1020.81,20625,42.56,80.27,HIGH,UNDER_REVIEW,2026-05-28
M0034,Zenith Solutions,EdTech,EdTech,24786753.64,98.52,1.36,0.06,70.01,26617,931.24,17299,85.33,14.96,LOW,ACTIVE,2026-05-19
M0035,Catalyst Direct,Health & Wellness,Health & Wellness,4332452.82,94.05,0.38,0.31,65.16,271,15986.91,182,78.31,21.45,LOW,ACTIVE,2025-04-01
M0036,Nova Solutions,Travel & Hospitality,Travel & Hospitality,3027025.21,98.01,1.37,0.12,87.08,436,6942.72,246,91.08,11.97,LOW,ACTIVE,2026-06-26
M0037,Forge Labs,Gaming & Entertainment,Gaming & Entertainment,755516.62,91.9,3.85,1.26,60.13,3418,221.04,2390,66.98,45.67,MEDIUM,ACTIVE,2025-10-08
M0038,Aero Dynamics,D2C Retail,D2C Retail,178988.61,96.13,0.68,0.12,95.16,1150,155.64,602,92.6,10.36,LOW,ACTIVE,2025-06-05
M0039,Omni Ventures,B2B Logistics,B2B Logistics,25562710.1,97.66,1.63,0.24,82.88,2134,11978.78,1249,88.41,15.42,LOW,ACTIVE,2026-01-25
