merchant_id,risk_score,risk_level,failure_risk_score,dispute_risk_score,volatility_risk_score,churn_risk_score,underwriting_decision,monitoring_priority,primary_risk_flag
M0001,45.19,MEDIUM,19.47,30.84,51.06,51.1,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0002,17.1,LOW,2.94,9.6,38.02,40.15,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0003,83.48,HIGH,65.7,47.91,60.48,59.32,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0004,47.79,MEDIUM,35.1,24.44,44.2,44.18,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0005,10.22,LOW,4.35,5.4,26.73,20.48,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0006,100.0,CRITICAL,86.43,99.81,65.54,63.96,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0007,22.64,LOW,16.29,8.96,32.59,36.9,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0008,40.79,MEDIUM,20.46,25.8,48.02,44.01,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0009,100.0,HIGH,66.51,75.96,55.87,57.19,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0010,37.2,MEDIUM,20.16,18.69,58.15,54.23,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0011,20.49,LOW,13.29,9.64,34.09,30.01,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0012,82.13,HIGH,48.18,62.19,54.29,60.03,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0013,12.46,LOW,3.81,10.57,19.62,13.39,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0014,55.45,MEDIUM,39.24,32.66,46.81,51.17,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0015,48.6,MEDIUM,34.29,31.16,35.98,40.06,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0016,44.48,MEDIUM,25.11,30.8,41.59,33.91,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0017,15.22,LOW,10.56,1.97,38.83,34.87,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0018,48.05,MEDIUM,29.94,29.11,44.16,43.94,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0019,13.11,LOW,16.65,4.32,16.06,14.67,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0020,9.83,LOW,2.85,8.62,11.56,9.69,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0021,74.81,HIGH,45.39,49.22,57.4,62.07,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
