transaction_id,merchant_id,customer_id,amount,currency,status,payment_method,fee,risk_flag,created_at
TXN_0000001,M0001,CUST_002572,2016.81,INR,SUCCESS,UPI,30.25,False,2026-07-22 16:57:29
TXN_0000002,M0001,CUST_010944,6491.32,INR,FAILED,UPI,97.37,False,2026-06-28 10:19:24
TXN_0000003,M0001,CUST_008175,4904.56,INR,SUCCESS,UPI,73.57,False,2026-06-08 10:43:32
TXN_0000004,M0001,CUST_011783,5570.27,INR,REFUNDED,UPI,83.55,False,2026-06-26 14:39:51
TXN_0000005,M0002,CUST_009278,50.0,INR,SUCCESS,DEBIT_CARD,1.1,False,2026-06-29 10:18:43
TXN_0000006,M0002,CUST_006721,50.0,INR,SUCCESS,UPI,0.75,False,2026-07-04 16:39:17
TXN_0000007,M0002,CUST_003234,50.0,INR,SUCCESS,UPI,0.75,False,2026-08-21 09:53:53
TXN_0000008,M0002,CUST_004190,50.0,INR,SUCCESS,UPI,0.75,False,2026-08-16 01:29:25
TXN_0000009,M0002,CUST_011069,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-08-12 04:44:05
TXN_0000010,M0002,CUST_008975,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-29 13:01:43
TXN_0000011,M0002,CUST_012706,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-07-04 09:11:25
TXN_0000012,M0002,CUST_011219,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-19 16:35:13
TXN_0000013,M0002,CUST_012706,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-08-02 07:23:39
TXN_0000014,M0002,CUST_011219,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-13 09:15:19
TXN_0000015,M0002,CUST_003234,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-07-02 12:40:18
TXN_0000016,M0002,CUST_011005,50.0,INR,SUCCESS,UPI,0.75,False,2026-05-31 04:56:20
TXN_0000017,M0002,CUST_012706,50.0,INR,SUCCESS,UPI,0.75,False,2026-08-25 12:41:41
TXN_0000018,M0002,CUST_009278,50.0,INR,SUCCESS,NET_BANKING,1.1,False,2026-07-30 15:58:31
TXN_0000019,M0002,CUST_009951,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-28 10:04:21
TXN_0000020,M0002,CUST_009765,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-08-25 01:45:28
TXN_0000021,M0002,CUST_004455,50.0,INR,SUCCESS,NET_BANKING,1.1,False,2026-08-06 03:23:14
TXN_0000022,M0002,CUST_013525,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-07-03 02:43:47
TXN_0000023,M0002,CUST_009765,50.0,INR,SUCCESS,NET_BANKING,1.1,False,2026-07-11 07:26:25
TXN_0000024,M0002,CUST_005105,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-19 11:50:26
TXN_0000025,M0002,CUST_001639,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-07-17 20:22:24
TXN_0000026,M0002,CUST_008975,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-29 20:53:20
TXN_0000027,M0002,CUST_006721,50.0,INR,SUCCESS,UPI,0.75,False,2026-07-31 10:07:28
TXN_0000028,M0002,CUST_007427,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-20 01:07:05
TXN_0000029,M0002,CUST_009951,50.0,INR,SUCCESS,UPI,0.75,False,2026-08-12 18:40:35
TXN_0000030,M0002,CUST_007427,50.0,INR,SUCCESS,CREDIT_CARD,1.1,False,2026-06-25 21:40:40
TXN_0000031,M0002,CUST_012706,50.0,INR,REFUNDED,NET_BANKING,1.1,False,2026-06-20 14:28:24
TXN_0000032,M0002,CUST_011069,50.0,INR,SUCCESS,UPI,0.75,False,2026-06-28 08:08:25
TXN_0000033,M0002,CUST_011069,50.0,INR,SUCCESS,UPI,0.75,False,2026-07-24 19:57:06
TXN_0000034,M0002,CUST_001639,50.0,INR,SUCCESS,UPI,0.75,False,2026-08-04 23:09:03
TXN_0000035,M0002,CUST_012220,50.0,INR,SUCCESS,UPI,0.75,False,2026-07-17 16:49:50
TXN_0000036,M0002,CUST_011069,50.0,INR,SUCCESS,DEBIT_CARD,1.1,False,2026-08-09 19:45:51
TXN_0000037,M0002,CUST_014827,50.0,INR,SUCCESS,UPI,0.75,False,2026-07-10 08:59:51
TXN_0000038,M0002,CUST_012220,50.0,INR,REFUNDED,UPI,0.75,False,2026-07-21 20:40:33
